ID Geography,County,State,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018)
05000US37023,Burke County, NC,33379,37086,42970,40345,40274,43663,2947,4504,3000,3323,3809,5097
05000US38015,Burleigh County, ND,64388,68339,65079,64558,69193,71172,5833,6526,4522,5530,5236,6473
05000US34005,Burlington County, NJ,77398,80896,74800,80254,87673,84889,2511,2035,3113,2473,3575,3734
05000US20015,Butler County, KS,55647,58791,60714,60182,64149,64898,2781,5736,3993,2865,8713,6088
05000US39017,Butler County, OH,55958,58730,58785,63273,64023,60589,2983,2366,3289,2522,2260,2147
05000US42019,Butler County, PA,58233,60782,68848,66426,68934,66423,2840,2807,3255,2434,2943,3855
05000US06007,Butte County, CA,42752,42365,45644,45177,49061,51652,2438,2303,1880,3768,3182,3471
05000US37025,Cabarrus County, NC,54307,54347,56853,63386,61490,69679,3801,3305,4253,4370,3300,3685
05000US54011,Cabell County, WV,39019,34046,38839,38823,33750,38162,5967,2044,3816,4641,4699,3504
05000US49005,Cache County, UT,48587,51556,50518,58003,52828,59248,3267,1713,3997,4292,4383,5589
05000US22017,Caddo Parish, LA,39683,39315,41040,37104,36165,39077,2325,3666,2358,2496,2246,3143
05000US72025,Caguas Municipio, PR,23583,24145,22686,24198,22377,27714,2156,2009,2635,1887,1719,3251
05000US22019,Calcasieu Parish, LA,42625,45742,45767,45962,52319,49113,4020,2976,2871,3065,2930,3354
05000US37027,Caldwell County, NC,32386,37876,38708,36301,45033,42257,2726,3773,3094,3557,5018,3342
05000US01015,Calhoun County, AL,36205,41428,42346,41687,46763,45818,3402,2300,2538,3903,3173,5781
05000US26025,Calhoun County, MI,44520,46088,43084,45902,45386,47204,3406,2381,2719,2822,2270,3791
05000US24009,Calvert County, MD,94196,95110,106247,98732,100590,107884,7032,8601,10881,9520,11000,6073
05000US42021,Cambria County, PA,41423,43224,44179,44100,46598,45084,2522,2148,2002,3096,2609,3675
05000US34007,Camden County, NJ,58006,62330,65025,66362,66196,67523,3347,2612,3754,2427,2791,2954
05000US48061,Cameron County, TX,34374,32093,34074,37061,36975,38378,1851,1534,2696,2142,2807,2327
05000US21037,Campbell County, KY,53323,50872,51208,62536,61379,59524,2571,4360,1767,3917,4427,5064
05000US40017,Canadian County, OK,63549,68552,62045,67177,74720,70204,2619,2886,3100,4907,6463,3579
05000US16027,Canyon County, ID,41941,43250,42786,48437,47324,53374,2314,2369,4325,2510,2436,3161
05000US29031,Cape Girardeau County, MO,42760,47438,49731,50223,51140,49844,3697,4349,5191,2712,6506,5372
05000US34009,Cape May County, NJ,60560,56899,57116,62548,66953,67007,4810,4079,4361,5723,4018,8412
05000US42025,Carbon County, PA,44017,50023,57387,51676,49647,53227,2715,2779,6858,6430,6819,6209
05000US72031,Carolina Municipio, PR,25988,28792,27039,28055,30822,25189,1482,1494,2829,1543,2508,2573
05000US13045,Carroll County, GA,45682,40744,43410,51228,50100,51545,2693,4762,4354,4497,7022,4567
05000US24013,Carroll County, MD,82955,85274,84887,90343,93676,97430,3838,3579,4071,4775,5125,6092
05000US37031,Carteret County, NC,45231,48881,51048,51206,52807,54833,3526,3377,4260,4429,3163,3190
05000US27019,Carver County, MN,82333,83594,92653,92455,101271,100324,6813,7343,5242,4773,6215,9410
05000US30013,Cascade County, MT,43947,42170,45606,45138,47713,49948,3493,3538,3301,3057,3956,3119
05000US29037,Cass County, MO,64144,60849,62561,63420,64595,71114,4418,2092,3340,4182,4240,6282
05000US38017,Cass County, ND,52015,52604,53728,59240,64704,62418,2942,2951,4282,4401,4451,6561
05000US37035,Catawba County, NC,42859,44677,40450,48913,53539,53454,3715,2760,2006,3680,2789,4144
05000US13047,Catoosa County, GA,51608,52412,51012,55717,53231,56364,2983,5790,1400,6820,7627,11612
05000US36009,Cattaraugus County, NY,40362,44320,40016,46842,48484,48179,2751,3350,2369,3719,3625,3100
05000US36011,Cayuga County, NY,50154,53780,53146,54995,56599,52376,3887,2675,3745,4267,3700,4473
05000US24015,Cecil County, MD,66090,61940,70676,74221,74912,74452,4802,3589,4327,7881,7308,5986
05000US42027,Centre County, PA,53207,51367,56337,60266,55895,57333,4446,2696,4927,3374,3787,5312
05000US17019,Champaign County, IL,45682,46776,50252,50335,50281,52725,2942,3141,3765,2837,2869,2147
05000US24017,Charles County, MD,88797,88803,88700,95735,97986,94368,3640,5522,3640,4892,8556,8186
