County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Galveston County,Texas,210,153080,143583,149125,147508,155767,163508,173767,184583,193200,210283,213767,229808,254350
Garfield County,Colorado,759,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,313729,339233,355917,394050
Garland County,Arkansas,546,118730,114750,123417,127708,132342,132825,119567,126067,126192,132758,139875,151667,169850
Garrard County,Kentucky,1228,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,130845,140042,149475,160300,136100
Garrett County,Maryland,1058,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,226543,227383,224600,203000
Gasconade County,Missouri,1250,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85838,98867,114858,112675,111300
Gaston County,North Carolina,280,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,97220,103633,115442,124217,129283,134383,147867,163242,169050
Geauga County,Ohio,556,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,189320,195633,200625,198342,204267,225167,230900,227742,236500
Gem County,Idaho,1229,#DIV/0!,#DIV/0!,86440,105450,120817,131150,148267,169408,156558,185883,205792,247367,#DIV/0!
Genesee County,Michigan,148,61260,47808,50233,45200,47108,56900,69092,81350,90608,105842,121133,129792,145450
Genesee County,New York,738,88790,87492,96900,91883,98667,97033,99942,103525,94508,103017,114425,118583,119600
Gila County,Arizona,781,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,177167,185433,208158,224067,237392,237100
Gilmer County,Georgia,1081,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,132950,140633,157792,165183,181867,199492,186600
Gilpin County,Colorado,1274,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,307400,358392,387183,352000
Glenn County,California,1086,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,194767,199792,214183,248508,273000
Gloucester County,New Jersey,211,203080,190492,182217,176642,172492,171617,178217,172258,174642,168258,164733,177600,191350
Gloucester County,Virginia,978,#DIV/0!,#DIV/0!,196922,201167,198325,208425,208167,212833,201758,215425,233058,233800,232700
Glynn County,Georgia,612,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,146467,180650,179875,188025,217242,219625,222967,242500
Goochland County,Virginia,1176,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,284414,320700,318917,331200,326258,356000
Goodhue County,Minnesota,850,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,145100,159217,162092,177008,194450,197500,219200
Gordon County,Georgia,771,#DIV/0!,99382,86317,79142,75125,79800,91983,107067,116750,122058,131275,147350,158500
Grafton County,New Hampshire,572,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,176500,193958,182125,182792,187833,191917,204133,205483,215200
Graham County,Arizona,968,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,127060,122283,131100,148967,151242,148742,151117,155192,178000
Grand County,Colorado,1252,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,236200,236442,261308,305450,368008,405925,508100
Grand Forks County,North Dakota,685,142230,140233,145783,152525,158075,168325,186075,189817,212775,196158,206750,211592,199700
Grand Traverse County,Michigan,581,147620,138292,146425,141358,152358,157292,170742,179708,196492,223217,228517,246833,241250
Grant County,Washington,571,148300,153567,156450,153833,153517,153708,145808,160233,169533,182100,191358,216217,249000
Grant County,Indiana,667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,65525,71058,69700,70817,77383,82183,85708,88967,104950
Granville County,North Carolina,739,140310,143550,142683,132233,133175,132117,141100,153800,148633,163317,186792,217983,224200
Grays Harbor County,Washington,656,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,103510,106500,117083,130875,148908,170917,189992,180100
Grayson County,Texas,456,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,124640,138192,151650,170683,178042,177400
Green County,Wisconsin,979,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,145375,137925,145908,161967,175633,161700
Green Lake County,Wisconsin,1205,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,109425,123517,138242,131475,128850
Greene County,Missouri,221,114050,113233,109875,104783,106950,114058,116092,121342,128033,130783,138758,145367,153000
Greene County,Ohio,356,#DIV/0!,#DIV/0!,128543,126792,125717,129300,134792,145175,149308,150117,166875,164583,182200
Greene County,Tennessee,674,78270,77642,79417,78392,72542,76258,82758,88367,94817,103442,113767,123950,124050
Greene County,New York,824,179900,158350,154283,150875,145283,158008,152608,156167,151942,157508,167258,187067,#DIV/0!
Greene County,Arkansas,903,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,105400,105467,112017,114400
Greene County,Virginia,1213,#DIV/0!,212100,220275,199225,200017,203825,190017,200492,213317,221267,231842,250858,248550
Greenup County,Kentucky,975,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,114638,114283,111817,100383,100300
Greenville County,South Carolina,137,124320,114858,115975,115942,127742,135467,138200,148983,160583,169292,185017,204992,216700
Guadalupe County,Texas,432,#DIV/0!,#DIV/0!,#DIV/0!,157475,159483,164508,177242,188617,197967,210125,219900,227642,228000
Guernsey County,Ohio,934,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,78000,78092,75017,91933,111250
Guilford County,North Carolina,128,129190,129525,124950,117708,117017,123567,125350,134817,137308,138167,150717,161767,169100
Gulf County,Florida,1242,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,186963,191517,190883,206700
Gunnison County,Colorado,1248,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,389771,376850,408425,509200
Gwinnett County,Georgia,61,164600,143033,133542,107350,108392,140633,155875,173850,184092,200292,218383,235442,247300
Habersham County,Georgia,891,122150,124692,112008,97475,89358,97383,112317,122750,133675,143758,158150,169142,175800
Hall County,Georgia,322,151040,146600,129358,106867,106733,123625,143517,163925,172275,190292,209850,228950,249500
Hall County,Nebraska,749,#DIV/0!,#DIV/0!,#DIV/0!,116650,116742,126783,125933,136167,142383,145525,148308,162675,175650
Hamblen County,Tennessee,719,100940,98400,98217,97517,95458,89600,100433,104642,110792,125583,132683,135767,147000
Hamilton County,Ohio,64,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,129978,134183,145775,148475,160300
Hamilton County,Tennessee,182,128370,126425,126433,128058,130650,135083,139992,149975,159217,168775,176283,192033,210000
Hamilton County,Indiana,222,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,194608,202208,209858,216708,232858,250650,261567,274450
Hampden County,Massachusetts,135,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,151629,160575,162467,168608,169042,172883,184892,195033,207350
Hampshire County,Massachusetts,369,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,245180,255733,262992,281550
Hampton City,Virginia,414,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,137857,143625,147292,155525,164017,168100
Hancock County,Ohio,645,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,131080,133842,148167,155850,153150
Hancock County,Indiana,668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,143600,150167,164583,178592,190917,204950
Hancock County,Mississippi,880,#DIV/0!,#DIV/0!,#DIV/0!,108067,96792,111583,115975,119567,135058,151867,148908,159375,181850
Hancock County,West Virginia,1055,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,76200,71383,82017,82183,84992,81883,86325,83250
Hanover County,Virginia,527,#DIV/0!,232850,233075,214158,208075,225025,218608,233417,239025,251533,266942,278025,276150
Hardin County,Kentucky,504,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,121356,130108,133242,147250,164500
Hardin County,Ohio,1043,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,76200,92908,95992,118500
Hardin County,Iowa,1220,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,71813,77358,82858,78633,79917,74000
Harford County,Maryland,247,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,233550,243000,245875,259800
Harnett County,North Carolina,472,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,132200,123400,126200,140358,150375,155292,163033,174425,178250
Harris County,Texas,3,133560,133025,133475,133217,136867,152583,166250,172975,180792,190842,198683,210358,221750
Harris County,Georgia,1044,#DIV/0!,196886,186700,186067,181117,171250,175333,186950,197075,203675,212600,220325,213700
Harrison County,Mississippi,310,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,121890,125583,133975,135558,145908,158950
Harrison County,Indiana,941,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,115875,133992,149108,158858,163308,150300
Harrison County,Kentucky,1207,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,102717,105733,126625,131683,111650
Hartford County,Connecticut,53,214210,202108,209217,205975,199650,199783,196592,191450,198267,197233,208500,211250,227850
Hawaii County,Hawaii,312,314160,258342,240275,220425,225708,262342,271125,290933,300308,306092,333450,360283,420600
Hawkins County,Tennessee,754,96390,90125,89592,85450,87167,89683,91167,94733,100483,119508,121258,124000,151250
Hays County,Texas,372,166580,166833,169867,166692,178842,186658,192467,215725,230967,249650,254142,264842,267050
Haywood County,North Carolina,745,165320,152042,149633,142108,146842,147325,143125,153575,163367,178775,191642,208183,213700
Henderson County,North Carolina,501,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,180029,183183,195650,206325,227050,249925,263550,271000
Henderson County,Texas,614,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,142222,148975,170142,184583,190483,194767,208050
Henderson County,Tennessee,1092,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,85092,88008,94783,97225,110308,114700
Hendricks County,Indiana,400,135230,134350,136883,134042,134933,142567,149158,159617,162350,172700,187875,202683,220400
Hendry County,Florida,944,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,62300,68867,88992,102567,117833,131258,128833,143000
Hennepin County,Minnesota,30,220630,194100,195833,173617,175008,197200,211767,226925,236517,252033,270350,287400,298650
Henrico County,Virginia,198,204760,196175,190775,172550,172042,182833,186183,194000,205533,214317,226783,238983,250800
Henry County,Georgia,282,137540,116708,111467,91475,88658,112383,125850,143383,141933,152792,166092,189583,201400
Henry County,Virginia,778,#DIV/0!,#DIV/0!,#DIV/0!,56644,83283,82367,76075,81917,73833,76717,82392,80192,78900
Henry County,Illinois,812,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,94557,91200,93367,108450,102300
Henry County,Tennessee,1040,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,72500,73525,77942,81742,97342,89825,92842,101583,99700
Henry County,Ohio,1085,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,105900,106992,109700,112400
Henry County,Kentucky,1246,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,140370,126500,142908,136200
Herkimer County,New York,703,#DIV/0!,74983,79108,83333,82942,91517,81467,85800,82517,86150,90133,99808,120950
Hernando County,Florida,333,131170,104925,93592,82508,82258,88767,97175,107925,122750,141367,156083,167208,181900
Hickman County,Tennessee,1137,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88271,100317,114500,133850
Highlands County,Florida,534,119290,98167,85900,76475,74942,73708,78008,86408,103925,117367,127442,135450,143700
Hill County,Texas,1001,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,94740,116708,120575,121242,140600,133500
Hillsborough County,Florida,26,169040,127683,114542,96883,110642,134133,140525,156833,177467,191233,215517,227442,#DIV/0!
Hillsborough County,New Hampshire,159,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,249471,261275,274108,287500
Hillsdale County,Michigan,848,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,111800,112117,121658,#DIV/0!
Hinds County,Mississippi,246,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88575,90625,101708,111933,118200,122933,121225,125983,132850
Hoke County,North Carolina,844,132190,134450,138467,142108,131908,133142,128517,133008,140192,145425,146683,158200,170650
Honolulu County,Hawaii,39,394760,405650,425650,420417,442383,466217,481783,491483,532392,560017,572292,610908,620250
Hood County,Texas,806,163720,160925,155558,170533,159042,169350,167008,178567,199308,219758,234950,244633,263650
Hood River County,Oregon,1170,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,275733,297683,300817,331750,360125,398375,402825,426575,438000
Horry County,South Carolina,225,#DIV/0!,#DIV/0!,#DIV/0!,123233,119775,125775,139150,141642,140883,154025,165133,170892,182600
Houston County,Georgia,407,117720,117700,122758,118542,110858,107267,108633,114267,122008,127892,138200,146383,160550
Houston County,Alabama,518,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,122500,123442,129450,136442,140742,143600
Howard County,Maryland,212,#DIV/0!,#DIV/0!,339600,346275,353175,363183,367975,364883,369708,383542,388125,389500,422800
Howard County,Texas,1003,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,137750,121383,139850,158225,168300
Hudson County,New Jersey,88,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,367600,394242,425908,450008,488600
Humboldt County,California,423,274280,254875,235892,229117,221342,230425,234583,247725,273767,292783,296033,308858,312900
Humphreys County,Tennessee,1210,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,81400,94258,104475,114008,120117,139550
Hunt County,Texas,586,#DIV/0!,#DIV/0!,84867,84100,98617,106592,112792,129825,146908,157575,167400,182650,197500
Hunterdon County,New Jersey,439,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,326825,341317,340625,338025,348692,361950
Huntingdon County,Pennsylvania,857,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,95850,90900,98400,88617,92533,94383,108492,101300
Huron County,Ohio,741,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,71829,79525,85917,91042,98308,104300,103358,125900
Huron County,Michigan,1026,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,96750,83125,88792,98483,108442,83500
Hutchinson County,Texas,1173,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,86933,83200,83842,82617,95500
Imperial County,California,330,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,154888,177550,186875,200833,209142,221758,237392,247100
Indian River County,Florida,412,163130,129183,114967,109767,119158,130633,137900,162550,173850,193375,207367,226200,244650
Indiana County,Pennsylvania,573,111075,81175,81667,89717,94075,94867,93583,91150,95808,109242,103517,99308,95300
Ingham County,Michigan,217,79100,63675,62633,55100,62575,76267,92475,97100,105283,113867,118667,129458,136550
Inyo County,California,1209,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,323075,303992,361189,#DIV/0!
Ionia County,Michigan,708,68200,55858,60050,58450,65875,77358,87350,104892,111725,122733,125908,139567,152300
Iowa County,Iowa,1234,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,144700,132817,130017,136825,153983,136600
Iredell County,North Carolina,365,156560,161708,164642,161492,166683,163992,174175,185642,191975,190408,213383,229533,247000
Iroquois County,Illinois,1064,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,71520,78383,75383,64200
Isabella County,Michigan,665,#DIV/0!,#DIV/0!,102550,88283,97692,109700,108467,109883,112617,116008,118908,133175,144200
Isanti County,Minnesota,961,148400,127017,115408,103700,116933,122517,142775,158650,169742,177783,197725,209767,221050
Island County,Washington,615,290520,263567,274817,255950,240392,261158,258200,279650,308933,335958,366175,380250,394150
Isle of Wight County,Virginia,998,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,264663,257267,264425,270617,282475,310600
Itasca County,Minnesota,864,#DIV/0!,#DIV/0!,127650,114608,122383,131850,131708,127958,139317,148425,138092,144967,147800
Jackson County,Oregon,283,241860,201908,182992,165858,175283,211775,225467,236542,251958,274417,289633,302683,315100
Jackson County,Michigan,361,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,95967,100517,115658,120417,131683,#DIV/0!
Jackson County,Mississippi,408,#DIV/0!,#DIV/0!,115370,96675,95825,99392,109858,121450,117842,129283,134867,141842,149300
Jackson County,Georgia,735,147610,148842,139292,115917,114150,121058,137267,153075,168508,181692,205258,219175,236500
Jackson County,North Carolina,929,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,188300,200317,209092,251425,242325,278500
Jackson County,Wisconsin,1194,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,109867,110633,108967,122958,130100
James City County,Virginia,684,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,291557,288025,303167,303442,308483,326050
Jasper County,Iowa,980,#DIV/0!,#DIV/0!,#DIV/0!,76013,77333,86350,95000,97017,101275,106150,114467,121842,150050
Jasper County,Indiana,1018,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,152433,165100,173983,209300
Jasper County,South Carolina,1133,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,240617,238608,168400
Jefferson County,Kentucky,73,121400,118975,122292,119233,124900,124183,130692,141883,151600,157500,163167,175917,173950
Jefferson County,Alabama,87,109190,103392,99350,95917,101942,115342,113525,128667,131342,146042,157700,163592,187300
Jefferson County,Colorado,113,218230,210650,220317,213933,227875,246308,265517,300233,343625,372508,402175,420975,436050
Jefferson County,Missouri,268,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,146171,152025,158558,162008,172958,173850
Jefferson County,New York,468,123740,129942,130308,131875,139450,138850,131358,136242,122742,125608,127742,142317,138500
Jefferson County,Wisconsin,593,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,141300,141200,157692,165858,168150,178825,201083,221050
Jefferson County,Arkansas,621,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80400,81717,86550,99358,94550
Jefferson County,West Virginia,782,217290,173358,163167,155408,155300,173517,201375,204767,207358,219842,219325,233942,268100
Jefferson County,Tennessee,804,106750,103167,100650,98267,105058,101167,110267,116525,120925,134867,148450,162592,180350
Jefferson County,Indiana,1038,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,112190,129175,127642,151550,128600
Jefferson County,Washington,1061,288930,258133,281975,240867,233958,259058,276483,264642,298258,328067,360642,396967,431150
Jefferson County,Idaho,1113,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,168013,174242,179475,197183,216992,232950,272108,286700
Jefferson County,Oregon,1175,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,118925,132658,135717,158567,182875,222433,242383,250950
Jefferson Parish,Louisiana,145,156720,153200,145650,141292,137775,147475,147008,149158,157808,168083,177717,188358,195650
Jerome County,Idaho,1168,128200,123817,130767,106275,112733,123933,134717,133458,137167,148908,169542,188558,203200
Jessamine County,Kentucky,828,122440,114733,124042,118425,125217,125333,127608,138008,144617,149017,163142,175500,167350
Johnson County,Kansas,106,#DIV/0!,#DIV/0!,207257,193808,199667,207542,210008,223983,238283,250300,272892,295533,310650
Johnson County,Texas,386,117050,116725,117033,120667,114842,127017,136742,148392,160667,175892,192442,205917,224650
Johnson County,Indiana,409,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,140757,146017,156775,166842,182575,195150
Johnson County,Iowa,436,#DIV/0!,155070,168108,162783,164433,171717,179500,189575,201267,209200,220583,227883,232300
Johnson County,Missouri,789,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,142400,156508,160167,172058,179000
Johnson County,Arkansas,1123,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,94900,87000,111308,113233,84400
Johnston County,North Carolina,340,135530,137900,136858,135633,127408,138050,135817,155058,160500,176567,190467,208100,220350
Jones County,Georgia,1072,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,114367,105300,118192,130808,124525,132667,148700
Josephine County,Oregon,601,220240,191125,176692,151167,159950,192583,202592,211983,234067,259858,274333,287708,281700
Juneau County,Wisconsin,1105,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75317,79000,99492,93192,104667,110150,129600
Juniata County,Pennsylvania,1138,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,128900,146508,138742,141500
Kalamazoo County,Michigan,243,105250,94550,98667,98275,104967,112042,117667,124542,128983,139125,149092,158167,167650
Kalkaska County,Michigan,1226,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,67550,73792,86567,91042,104975,109325,108642,113550
Kanabec County,Minnesota,1236,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80000,92867,97442,111875,126842,139117,149275,156617,155550
Kanawha County,West Virginia,302,#DIV/0!,#DIV/0!,97800,100067,105825,107300,104175,118242,123433,121725,117342,117333,120900
Kandiyohi County,Minnesota,901,#DIV/0!,#DIV/0!,#DIV/0!,109300,109933,126042,126667,130567,126450,137033,149742,156383,158500
Kane County,Illinois,118,226130,197717,178708,148567,143558,159192,182800,188750,188458,206200,222783,230583,240950
Kankakee County,Illinois,478,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,116180,116367,115542,121808,121917,138842,141173,#DIV/0!
Kaufman County,Texas,510,121610,118967,119517,114133,126842,134100,144558,166675,180467,194675,209417,218917,223350
Kendall County,Illinois,471,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,197250,202867,218017,229925,226617,227950
Kendall County,Texas,1019,#DIV/0!,262343,244442,274667,253733,286358,276792,322075,319300,312975,332667,360658,440450
Kenosha County,Wisconsin,346,#DIV/0!,#DIV/0!,121914,121175,113075,114608,122400,133267,142617,156450,165975,180883,#DIV/0!
Kent County,Michigan,97,106590,82892,88642,88025,97542,115975,126742,135642,147975,161675,178250,194808,210300
Kent County,Rhode Island,347,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,217914,220783,237267,257550
Kent County,Delaware,354,198050,185225,179042,152833,159575,166300,172917,178433,190775,191342,196617,210058,227050
Kent County,Maryland,1196,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,181860,169125,181342,208550,201792,209058,217150
Kenton County,Kentucky,364,107880,101383,101492,99808,97992,104025,108425,113775,130025,131967,142608,152200,#DIV/0!
Kern County,California,58,178000,121508,121167,115250,121850,153300,169533,181450,193417,201917,216575,231850,245200
Kerr County,Texas,819,164350,152217,166075,157100,161642,162083,169008,185500,195717,213667,229108,244933,252250
Kershaw County,South Carolina,726,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,134833,127800,133800,138900,152117,158258,173550
King County,Washington,12,371710,344325,353483,324142,322575,361858,378325,404025,444642,516375,573625,590858,622150
King George County,Virginia,1151,267680,228692,226650,208883,228300,243617,223408,241508,251692,264717,267758,281458,302600
King William County,Virginia,1240,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,187888,185567,203792,189950
Kings County,California,381,190933.3333,159892,148183,133650,135825,148258,166158,175583,191475,211200,222025,231500,247400
Kitsap County,Washington,242,259650,247633,252342,245958,232775,235892,239867,257033,283392,304167,331925,353225,398550
Kittitas County,Washington,925,224110,218625,223650,197700,187208,209625,218408,240875,241858,273575,303092,331642,345750
Klamath County,Oregon,689,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,138900,138850,146892,156392,167100,182992,219300
Knox County,Tennessee,146,138490,135133,132425,133808,137233,142458,142742,150042,153542,161717,171400,185950,204200
