County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Blount County,Tennessee,450,#DIV/0!,133320,133450,127367,132717,137817,138583,148783,153525,165325,181008,192742,#DIV/0!
Blue Earth County,Minnesota,706,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,152629,164958,169833,171683,190650,190800
Bonneville County,Idaho,507,#DIV/0!,#DIV/0!,133729,131017,126783,133583,135983,143167,156425,166458,186100,207108,222700
Boone County,Missouri,353,142290,142458,140267,145750,151117,149833,153658,162742,165125,167842,178775,189783,191250
Boone County,Kentucky,460,144980,137167,138650,138917,135025,140392,144875,155850,164875,169625,180150,194067,202550
Boone County,Indiana,757,#DIV/0!,#DIV/0!,162200,165583,177475,174525,181208,189208,202767,202133,225858,251058,240800
Boone County,Illinois,777,148910,129600,122500,97092,95425,102767,109025,117983,134342,146417,154908,169908,183800
Boone County,Arkansas,976,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,109860,107725,121075,116150,122317,127300
Boone County,Iowa,1109,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,106083,125075,126458,132783,140850
Bossier Parish,Louisiana,463,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,163614,159025,180733,184783,177242,181817,185892,190600
Botetourt County,Virginia,1025,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,191960,202825,189217,180475,193967,220275,219700
Boulder County,Colorado,209,297250,278817,303875,301592,310708,325117,334733,370417,423517,455542,503642,524292,529250
Box Elder County,Utah,815,151620,149700,145017,137950,141067,151825,152692,166017,180300,195375,217133,239717,266100
Boyle County,Kentucky,1078,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100167,109925,118550,129558,139292,137467,#DIV/0!
Bradley County,Tennessee,533,105800,105683,106292,108092,110400,117558,121783,124867,131683,143350,158625,164208,183500
Brazoria County,Texas,193,150840,152833,149033,145942,154267,161825,174675,188608,197433,209583,218567,227308,233550
Breckinridge County,Kentucky,1201,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,126400,116550,103233,123625,111300
Bremer County,Iowa,1142,120600,116775,118217,127600,123142,137900,130458,137883,132683,155592,147533,142325,138300
Brevard County,Florida,107,149210,118792,103825,97992,107583,113633,124567,143258,160733,177950,196092,207467,221100
Bristol City,Virginia,1217,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90211,91817,88450,91692,95167,115150
Bristol County,Massachusetts,105,242520,226333,226050,210808,209300,224425,232175,240858,254325,271550,283575,301633,311100
Bristol County,Rhode Island,817,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,334786,355317,354142,375750
Brookings County,South Dakota,1045,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,172444,187692,199550,197858,179050
Broome County,New York,290,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,97367,96350,107458,107308,106800
Broomfield County,Colorado,762,255980,250158,263558,261667,263667,276683,299217,328042,364000,411625,446592,478183,468650
Broward County,Florida,15,201940,130333,113258,104083,118683,145225,164592,185250,202058,220858,238725,254610,#DIV/0!
Brown County,Wisconsin,244,138340,128700,131358,129783,129358,130450,136167,143558,147158,156992,169575,179158,189000
Brown County,Indiana,1249,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,156600,154758,183158,198883,210483,240167,246050
Brunswick County,North Carolina,498,231430,210300,197858,180550,176508,176700,185525,198167,198217,215575,232592,237650,255600
Bryan County,Oklahoma,897,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,110710,107508,108458,114475,128783,137825,138050
Bryan County,Georgia,1057,202060,200042,184517,176900,185500,181583,184092,207150,214408,222300,233233,230592,260650
Buchanan County,Missouri,570,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,96878,97625,93508,99217,106358,100983,108842,117908,117300
Bucks County,Pennsylvania,92,279230,263283,275233,259125,256467,265383,264333,266950,267542,282733,292608,306183,318650
Buena Vista County,Iowa,1195,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107150,106142,110842,112358,123158,114050
Bullitt County,Kentucky,648,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,164771,172775,178458,187300
Bulloch County,Georgia,666,#DIV/0!,132440,130567,125400,110425,116783,135258,118250,125925,132150,126458,140133,151700
Buncombe County,North Carolina,251,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,193000,198850,203000,218183,240083,257933,274667,285858,311650
Bureau County,Illinois,1004,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80410,80933,84483,94700
Burke County,North Carolina,564,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,101964,116625,121208,132392,142358,160350
Burlington County,New Jersey,138,221780,206592,207650,199025,192400,199175,188367,189558,186842,180700,185608,205683,227100
Burnet County,Texas,895,#DIV/0!,#DIV/0!,#DIV/0!,191867,168950,187450,191217,203108,204017,226650,237708,272400,294850
