RegionID,County,State,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
929,Cayuga County,New York,611,91000,97900,97600,95900,94900,87700,90500,84800,88200,85800,85600,90800,90700,97100,94100,96000,98100,91400,89000,85700,90300,92400,91100,87500,90300,104100,111600,111700,105500,98800,97000,96700,96500,100100,94400,98800,93900,91000,98700,107900,119000,113700,104900,100000,91000,94200,90900,101500,101300,101700,95000,88300,93100,95400,104600,109600,107100,105300,97800,98800,97600,97800,106900,107800,107200,100300,99700,97700,96600,101000,102100,105800,102700,109300,103500,109700,110800,113500,110500,111500,113700,111000,100300,104400,106700,110100,106100,106200,109200,111000,109700,109100,103800,104800,107200,116000,111000,108800,105100,108900,106100,104900,102400,108400,112200,114600,111300,106000,111000,106100,112800,104600,113100,109700,115500,110500,113900,104000,113900,108700,118700,121700,119400,117200,106100,113300,119200,122100,121000,116600,117300,117400,106800,110100,110000,126000,128100,124800,122400,117100,122200,126200,122400,124900
525,Glynn County,Georgia,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153000,140100,146300,170500,169100,184900,181600,186200,161900,169700,179400,199300,184800,190300,190100,202700,189100,176100,171100,171700,177700,175400,172500,167100,178000,185500,191600,179700,177100,169800,172500,184700,193700,201600,191400,200800,197500,197400,190100,185500,199800,240800,238700,237800,208300,211900,202600,201700,220000,227300,232500,219500,226800,223300,234000,223700,218100,206800,213700,217500,220100,218600,213400,230300,217100,211000,201400,232400,237100,222400,200300,214200,231200,240100,238100,242500,
1003,Elmore County,Alabama,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155700,147200,145400,143300,142100,145700,141700,143000,141800,147600,143800,143500,143300,156000,158200,157000,149400,147600,149800,147500,151100,149500,156600,161800,164100,165300,164400,165900,152500,147100,147200,154900,155600,144000,148600,143500,157800,157800,166600,159500,159600,160000,166700,167200,165700,165800,165500,170500,168900,170300,175200,172700,174900,171700,174500,177800,178900,170900,162600,155300
2721,Henderson County,Texas,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152300,137000,137100,129400,149900,156700,142900,136700,138000,145400,137100,137400,142200,156700,152800,152800,148300,151900,154700,158100,150300,154600,153300,159000,154500,157600,158200,168000,169600,181500,186100,189400,209900,207900,208200,183600,179900,181900,181000,177800,175200,175200,179400,182900,182000,182900,188400,207900,204400,194800,186900,189400,196000,182200,181100,179300,192500,197000,188500,178300,170400,175000,179600,196500,203300,217600,219500,216000,195500,204800,211300
1112,Island County,Washington,615,343300,329900,298300,288800,271000,270600,269000,273400,279600,281300,280400,268600,263800,258300,252700,251600,253800,256200,262200,269800,268200,277200,284700,291100,274500,261300,247100,263500,279300,285700,274900,277000,281400,277300,260600,265700,270300,274400,265800,254600,241200,246200,251500,254700,242000,244400,230800,233000,211400,219900,225800,238000,242700,238200,249400,253000,265200,277300,273200,275700,277200,280600,266600,251100,251500,249200,246100,248800,255300,258600,254400,251300,250800,255100,253100,251800,251900,258500,262400,266500,265800,276800,277700,281100,265000,260600,266200,276300,281800,279100,287300,289900,295000,295800,319300,308200,309100,285200,300600,311400,321600,327100,316000,308900,298500,301300,323700,335500,334600,325600,322900,329100,325000,333700,341500,350100,355500,354300,357100,356600,368700,373200,381100,375500,375500,371300,369300,355700,357200,352900,381000,377700,377200,359400,369500,386700,397400,396200,393500,376800,371200,376400,389500,398800
2516,Rockwall County,Texas,616,186200,180000,180600,172400,171200,174500,173600,172900,166900,165900,168300,178500,180000,175400,168600,169000,171600,168800,170000,170300,170400,179300,186800,191200,178000,172100,169300,174500,176300,180700,179600,171100,182400,185000,197900,182000,182100,171900,172200,167000,179400,179500,176200,168000,163700,166600,164400,165400,169200,165300,179400,177500,182200,172900,173800,175300,179400,177100,177000,172100,176500,183500,185900,190800,186500,188600,187700,191900,192100,191600,193200,199000,200100,197700,197800,197700,194300,193300,194100,202000,203200,200300,199000,200000,204300,207000,211200,216600,219200,217700,218200,217200,221600,225000,228800,219600,221800,226200,237500,238900,237100,241100,241400,243300,241700,242800,259000,259000,270700,259300,262800,254500,257300,258100,264800,269800,278700,278000,278200,278200,279800,278600,275000,273200,278000,282200,280200,273000,268200,271300,274500,273800,276800,281700,288000,286400,284400,283100,285200,279500,279100,280200,293400,287100
2700,Frederick County,Virginia,617,227900,218200,211500,204600,196700,195300,191000,187800,185800,190300,189800,183100,172700,168400,172000,171300,176700,173000,171500,169900,171400,173900,169000,164300,160400,163200,162500,162400,162400,166300,168200,170200,173600,172800,165600,160900,158800,158600,146900,152600,158000,171000,164900,163000,169100,166500,163200,149400,161400,168300,172400,170800,179000,181600,186100,187300,203600,200300,192900,178800,179400,177300,179800,181700,193500,196000,199400,202400,207800,204700,191100,188600,189500,191600,194600,203300,209500,210700,201600,198200,190100,207000,209000,210900,198900,201900,203800,204400,207500,208000,209400,209900,208000,207900,207400,217100,224800,229700,227800,216000,212200,210500,221500,224100,231200,234600,238300,236300,226600,224800,228300,234200,232200,232000,230400,235400,237800,248400,248700,248200,245700,251800,247600,247500,240200,244100,248000,248900,249600,243900,248700,248600,254100,253300,254200,248200,245800,247200,260100,259700,267700,262400,259100,256100
1875,Lincoln County,North Carolina,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,150600,144600,151500,147600,143800,144800,139800,161600,161100,174200,170500,168400,170200,158900,156900,148900,153600,157900,156600,157700,161000,167300,173100,179100,181800,177800,172200,170900,177600,177100,181000,168900,173200,181400,188800,181600,171000,165900,161100,163100,180900,185000,180700,158700,151400,161300,164500,172900,178600,182000,184000,170900,169400,171500,169900,175900,177800,180000,177900,176100,181100,186500,199000,198700,196200,190600,199300,205600,205800,205300,202500,204600,198200,201900,212300,219800,223300,226600,227200,233000,224100,230800,232800,250500,262700,264600,250800,236400,234500,240500,243700,245900,239500,231600,253400,253600,
2294,Franklin County,Washington,619,131300,132800,131600,126600,125200,126000,134500,136400,136900,126900,122400,123000,126500,124300,125000,129800,135900,134800,135800,138600,143000,139900,136900,139800,142600,150100,150100,152500,154900,156400,157900,154700,154300,153700,150300,152600,152800,153500,147500,144800,145900,151600,156200,159000,155000,150600,147700,150500,151700,158100,161800,161400,157500,154800,159700,163200,164400,164700,165400,163500,161200,157100,158300,159000,161500,163800,164400,163900,167200,166600,160700,154900,157200,164400,170100,168100,169100,166800,171200,173600,175900,171800,168400,162500,165300,176100,179600,184000,176700,181400,177900,181400,179300,181500,182500,189400,190700,192000,191700,192900,191300,190400,193000,194900,193200,198200,201300,209900,209000,211000,213800,215000,216000,214500,212500,215600,221000,227000,224300,224800,225100,232900,227800,231500,235500,244700,248400,245000,240400,243600,250700,257600,255400,253800,258400,264800,270000,270500,273500,276300,277700,279600,275300,271900
2567,Sullivan County,New York,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112600,113500,109000,106600,112400,115000,119000,113200,108400,106700,106700,111300,112400,117200,113200,121600,115800,127900,126700,125900,121400,116200,119600,121100,128100,129900,125200,117000,126700,126400,129600,126800,130500,129900,131800,126100,120200,112100,118700,125400,116400,119800,126500,127400,120400,125100,130400,139300,123300,132600,131700,145300,151800,148900,138100,132400,137700,152500,153700,158000,
