County,State,2013,2014,2015,2016,2017,2018
Delaware County, OH,184979,189113,193013,196463,200464,204826
Delaware County, PA,561973,562960,563894,563402,564696,564751
Denton County, TX,728799,753363,780612,806180,836210,859064
Denver County, CO,649495,663862,682545,693060,704621,716492
Deschutes County, OR,165954,170388,175268,181307,186875,191996
DeSoto County, MS,168240,170913,173323,175611,178751,182001
District of Columbia, DC,646449,658893,672228,681170,693972,702455
Do?ña Ana County, NM,213460,213676,214295,214207,215579,217522
Dodge County, WI,88344,88574,88502,88068,87786,87847
Dorchester County, SC,145397,148469,152478,153773,156456,160647
Dougherty County, GA,92969,92407,91332,90017,89502,91243
Douglas County, CO,305963,314638,322387,328632,335299,342776
Douglas County, GA,136379,138776,140733,142224,143882,145331
Douglas County, KS,114322,116585,118053,119440,120793,121436
Douglas County, NE,537256,543244,550064,554995,561620,566880
Douglas County, OR,106940,106972,107685,108457,109405,110283
Dubuque County, IA,95697,96370,97125,97003,97041,96854
DuPage County, IL,932126,932708,933736,929368,930128,928589
Durham County, NC,288133,294460,300952,306212,311640,316739
Dutchess County, NY,296916,296579,295754,294473,295568,293718
Duval County, FL,885855,897698,913010,926255,937934,950181
East Baton Rouge Parish, LA,445227,446042,446753,447037,446268,440956
Eaton County, MI,108348,108579,108801,109160,109027,109826
Eau Claire County, WI,101438,101564,102105,102965,103671,104534
Ector County, TX,149378,153904,159436,157462,157087,162124
El Dorado County, CA,181737,183087,184452,185625,188987,190678
El Paso County, CO,655044,663519,674471,688284,699232,713856
El Paso County, TX,827718,833487,835593,837918,840410,840758
Elkhart County, IN,200563,201971,203474,203781,205032,205560
Ellis County, TX,155976,159317,163632,168499,173620,179436
Elmore County, AL,80902,80977,81468,81799,81677,81887
Erie County, NY,919866,922835,922578,921046,925528,919719
Erie County, OH,76048,75828,75550,75107,74817,74615
Erie County, PA,280294,278443,278045,276207,274541,272061
Escambia County, FL,305817,310659,311003,315187,313512,315534
Essex County, MA,762550,769091,776043,779018,785205,790638
Essex County, NJ,789565,795723,797434,796914,808285,799767
Etowah County, AL,103931,103531,103057,102564,102755,102501
Fairbanks North Star Borough, AK,100436,99357,99631,100605,99703,98971
Fairfax County, VA,1130924,1137538,1142234,1138652,1148433,1150795
Fairfield County, CT,939904,945438,948053,944177,949921,943823
Fairfield County, OH,148867,150381,151408,152597,154733,155782
Faulkner County, AR,119580,120768,121552,122227,123654,124806
Fauquier County, VA,67207,68248,68782,69069,69465,70675
Fayette County, GA,108365,109664,110714,111627,112549,113459
Fayette County, KY,308428,310797,314488,318449,321959,323780
Fayette County, PA,134999,134086,133628,132733,131504,130441
Flagler County, FL,99956,102408,105392,108310,110510,112067
Flathead County, MT,93068,94924,96165,98082,100000,102106
Florence County, SC,138326,139231,138900,138742,138566,138159
Floyd County, GA,95821,96063,96504,96560,97613,97927
Floyd County, IN,76244,76179,76778,76990,77071,77781
Fond du Lac County, WI,101798,101759,101973,102144,102548,103066
Forrest County, MS,77059,76330,75944,75979,75471,75036
Forsyth County, GA,195405,204302,212438,221009,227967,236612
Forsyth County, NC,361220,365298,369019,371511,376320,379099
Fort Bend County, TX,652365,685345,716087,741237,764828,787858
Franklin County, MA,71221,70862,70601,70382,70702,70963
Franklin County, MO,101816,102084,102426,102838,103330,103670
Franklin County, NC,,,,,66168,67560
Franklin County, OH,1212263,1231393,1251722,1264518,1291981,1310300
Franklin County, PA,152085,152892,153638,153851,154234,154835
Franklin County, WA,86638,87809,88807,90160,92125,94347
Frederick County, MD,241409,243675,245322,247591,252022,255648
Frederick County, VA,81319,82377,83199,84421,86484,88355
Fresno County, CA,955272,965974,974861,979915,989255,994400
Fulton County, GA,984293,996319,1010562,1023336,1041423,1050114
Gallatin County, MT,94720,97308,100739,104502,107810,111876
Galveston County, TX,306782,314198,322225,329431,335036,337890
Garland County, AR,97173,97322,97177,97477,98658,99154
Gaston County, NC,209420,211127,213442,216965,220182,222846
Geauga County, OH,93972,94295,94102,94060,93918,94031
Genesee County, MI,415376,412895,410849,408615,407385,406892
Gloucester County, NJ,290265,290951,291479,292330,292206,291408
Glynn County, GA,81508,82175,83579,84502,85282,85219
Grafton County, NH,89629,89658,89320,88888,89386,89786
Grand Forks County, ND,69179,70138,70916,71083,70795,70770
Grand Traverse County, MI,89987,90782,91636,92084,91807,92573
Grant County, IN,69126,68569,67979,66937,66491,65936
Grant County, WA,91878,93147,93259,93546,95158,97331
Grays Harbor County, WA,71078,70818,71122,71628,72697,73901
Grayson County, TX,122353,123534,125467,128235,131140,133991
Greene County, MO,283870,285865,288072,288690,289805,291923
Greene County, OH,163204,163820,164427,164765,166752,167995
Greene County, TN,68267,68335,68580,68615,68808,69087
Greenville County, SC,474266,482752,491863,498766,506837,514213
Greenwood County, SC,69723,69520,69838,70133,70355,70741
Gregg County, TX,123024,123204,124108,123745,123367,123707
Guadalupe County, TX,143183,147250,151249,155265,159659,163694
Guaynabo Municipio, PR,94645,92799,90879,89307,87328,83787
Guilford County, NC,506610,512119,517600,521330,526953,533670
Gwinnett County, GA,859304,877922,895823,907135,920260,927781
Hall County, GA,187745,190761,193535,196637,199335,202148
Hamilton County, IN,296693,302623,309697,316373,323747,330086
Hamilton County, OH,804520,806631,807598,809099,813822,816684
Hamilton County, TN,348673,351220,354098,357738,361613,364286
Hampden County, MA,467319,468161,470690,468467,469818,470406
Hampshire County, MA,159596,160939,161292,161816,161834,161355
Hampton city, VA,136699,136879,136454,135410,134669,134313
Hancock County, IN,71575,71978,72520,73717,74985,76351
Hancock County, OH,75773,75337,75573,75872,75754,75930
