ID Geography,County,State,2013,2014,2015,2016,2017,2018
05000US36019,Clinton County, NY,43892,53575,45377,55316,58234,56704
05000US13067,Cobb County, GA,63086,67043,70246,70947,75654,78894
05000US04003,Cochise County, AZ,46647,45688,43291,45508,51816,50495
05000US04005,Coconino County, AZ,50637,49757,53152,55091,54893,61843
05000US29051,Cole County, MO,50780,51210,56855,55303,52609,63568
05000US12021,Collier County, FL,54406,58026,62126,61228,66048,69867
05000US48085,Collin County, TX,80273,86040,86217,89638,94933,96051
05000US12023,Columbia County, FL,45220,38520,47808,42019,40811,48848
05000US13073,Columbia County, GA,72167,66925,75440,72737,74164,82024
05000US42037,Columbia County, PA,46530,48540,42599,49186,51726,50601
05000US39029,Columbiana County, OH,42100,42640,41887,47864,41818,43745
05000US48091,Comal County, TX,72759,62389,67363,77425,71060,76203
05000US40031,Comanche County, OK,41488,47235,47587,51164,51059,52089
05000US06013,Contra Costa County, CA,79100,80361,83104,91045,95339,101618
05000US17031,Cook County, IL,53827,55069,56851,60046,61405,63353
05000US48099,Coryell County, TX,51217,47042,45998,51125,52769,46131
05000US13077,Coweta County, GA,61351,59506,67351,71220,72787,69240
05000US53015,Cowlitz County, WA,48417,42223,49949,50637,49456,59225
05000US05031,Craighead County, AR,41134,42691,40085,43678,50422,44810
05000US37049,Craven County, NC,44963,43380,48145,49938,51789,50509
05000US42039,Crawford County, PA,44575,44598,46574,45410,50657,51502
05000US40037,Creek County, OK,44469,47286,46665,43609,46877,55264
05000US01043,Cullman County, AL,39936,38261,37862,39411,45044,44612
05000US23005,Cumberland County, ME,54780,61992,64215,65913,71975,72452
05000US37051,Cumberland County, NC,43609,42248,42107,45205,43759,46716
05000US34011,Cumberland County, NJ,45978,45339,51315,49110,52627,52795
05000US42041,Cumberland County, PA,60088,62759,63890,63530,69301,71802
05000US39035,Cuyahoga County, OH,43501,44016,45297,46601,46784,49910
05000US27037,Dakota County, MN,73475,76213,77196,78662,80832,86302
05000US19049,Dallas County, IA,78837,77412,78634,75899,88561,83990
05000US48113,Dallas County, TX,47810,50076,51799,54399,56718,59839
05000US55025,Dane County, WI,60081,61582,65202,70796,72268,71582
05000US45031,Darlington County, SC,31674,34651,33922,36841,37465,33521
05000US42043,Dauphin County, PA,53816,52975,54232,60331,61622,57814
05000US37057,Davidson County, NC,38803,42201,46150,45678,46802,45320
05000US47037,Davidson County, TN,47150,47993,52026,54855,58490,60856
05000US21059,Daviess County, KY,47252,41685,48791,51764,49507,50934
05000US49011,Davis County, UT,70335,70440,72016,76905,80301,84358
05000US01049,DeKalb County, AL,40876,35023,36559,35963,39373,36998
05000US13089,DeKalb County, GA,49796,50542,54057,56109,61827,64461
05000US17037,DeKalb County, IL,52867,56450,55471,59285,59942,63085
05000US18035,Delaware County, IN,36402,39323,40606,41041,41255,41662
05000US39041,Delaware County, OH,84159,96949,96410,101693,106933,99881
05000US42045,Delaware County, PA,64822,62993,67584,67950,73854,72045
05000US48121,Denton County, TX,74981,74196,75649,80613,86291,88117
05000US08031,Denver County, CO,51089,54941,58003,61105,65224,68377
05000US41017,Deschutes County, OR,46791,52006,57373,61870,66273,67577
05000US28033,DeSoto County, MS,58959,58073,60394,64505,66440,68385
05000US11001,District of Columbia, DC,67572,71648,75628,75506,82372,85203
05000US35013,Doña Ana County, NM,36343,39502,39902,37496,37144,35262
05000US55027,Dodge County, WI,51151,53139,55832,55856,56421,63077
05000US45035,Dorchester County, SC,54582,56277,54521,57637,64148,66438
05000US13095,Dougherty County, GA,30504,31755,35645,37222,38712,39659
05000US08035,Douglas County, CO,102961,103226,107650,109292,111482,119615
05000US13097,Douglas County, GA,50281,54826,59329,62445,61094,60829
05000US20045,Douglas County, KS,52150,48565,52964,56345,55646,54668
05000US31055,Douglas County, NE,51728,52505,58359,58990,61531,64390
05000US41019,Douglas County, OR,40605,42000,41428,42889,47746,47004
05000US19061,Dubuque County, IA,51735,56129,58487,60456,61497,60225
05000US17043,DuPage County, IL,76195,80015,81559,84908,89521,93750
05000US37063,Durham County, NC,52488,50504,53495,53832,59891,58073
05000US36027,Dutchess County, NY,70056,71165,71864,74115,77915,80227
05000US12031,Duval County, FL,47906,45779,49554,51980,52062,55832
05000US22033,East Baton Rouge Parish, LA,48463,46778,50519,50508,55326,52947
05000US26045,Eaton County, MI,53328,57087,56005,56211,64522,67195
05000US55035,Eau Claire County, WI,49204,47043,51667,49821,54963,60475
05000US48135,Ector County, TX,55710,58701,65454,53254,55380,64165
05000US06017,El Dorado County, CA,61365,71113,79019,75772,79414,82742
05000US08041,El Paso County, CO,57098,59446,60109,63882,65370,68119
05000US48141,El Paso County, TX,39945,40170,43692,42165,44489,43958
05000US18039,Elkhart County, IN,45387,49937,49556,54216,58960,58350
05000US48139,Ellis County, TX,57880,60294,68095,70210,72138,77794
05000US01051,Elmore County, AL,50699,55530,52502,52579,60558,60796
05000US36029,Erie County, NY,51245,50132,52214,54246,55604,56369
05000US39043,Erie County, OH,46073,48734,47544,48949,54958,49751
05000US42049,Erie County, PA,44292,45560,47386,48964,50614,48007
05000US12033,Escambia County, FL,42877,46655,46001,44788,48631,51050
05000US25009,Essex County, MA,67522,70366,68455,73901,75480,76604
05000US34013,Essex County, NJ,53610,54754,52041,54277,60430,63368
05000US01055,Etowah County, AL,39459,40529,43346,41152,41576,45868
05000US02090,Fairbanks North Star Borough, AK,69113,69820,72975,77328,76747,75448
05000US51059,Fairfax County, VA,111079,110674,113208,115717,118279,122227
05000US09001,Fairfield County, CT,82084,85925,86414,90123,91198,91079
05000US39045,Fairfield County, OH,56286,59933,61291,65316,67310,67144
05000US05045,Faulkner County, AR,49149,51650,50596,48506,47964,51437
05000US51061,Fauquier County, VA,82823,91987,91940,94347,98585,92145
05000US13113,Fayette County, GA,81394,77016,78557,80626,84742,93468
05000US21067,Fayette County, KY,47535,47968,51948,53178,56137,54896
05000US42051,Fayette County, PA,38903,36562,40495,43140,44184,52984
05000US12035,Flagler County, FL,46055,51622,48864,49395,49652,58963
05000US30029,Flathead County, MT,47802,47362,46899,50142,59735,53193
05000US45041,Florence County, SC,41331,43148,40883,46524,42929,48790
05000US13115,Floyd County, GA,37296,41752,40510,49865,45854,38462
05000US18043,Floyd County, IN,57401,52819,58096,58586,60690,66391
05000US55039,Fond du Lac County, WI,54198,51717,57620,58310,61417,57415
05000US28035,Forrest County, MS,35422,38904,33779,37275,42389,38837
05000US13117,Forsyth County, GA,86052,85639,94537,100909,102084,104687
05000US37067,Forsyth County, NC,45580,45220,46477,48271,50185,49166
