ID Geography,Geography,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),,
05000US48029,"Bexar County, TX",49769,50760,52286,53210,54175,54149,1120,929,978,1108,1295,1409,1817610,1855866,1897753,1928680,1958578,1986049,,
05000US13021,"Bibb County, GA",36327,35397,38605,36724,37444,40495,3148,2170,3220,3032,3457,3567,154721,153905,153721,152760,152862,153095,,
05000US19013,"Black Hawk County, IA",45666,51685,50169,50470,49779,51920,2254,2794,2399,3444,2471,2147,132546,132897,133455,132904,132648,132408,,
05000US42013,"Blair County, PA",42164,44019,45432,43443,45957,49942,3453,4070,3540,3931,2207,5629,126314,125955,125593,124650,123457,122492,,
05000US47009,"Blount County, TN",44351,46819,49134,51183,50675,58809,3521,3013,4032,2059,2864,4446,125099,126339,127253,128670,129929,131349,,
05000US27013,"Blue Earth County, MN",51858,48850,48350,53869,56716,58616,3000,4541,3720,4393,5416,4771,65528,65385,65787,66441,66973,67427,,
05000US16019,"Bonneville County, ID",49884,49626,53355,59706,53478,58729,2598,4159,3651,2968,4297,5261,107517,108623,110089,112232,114595,116854,,
05000US18011,"Boone County, IN",,,,,81785,81145,,,,,5801,11373,,,,,65875,66999,,
05000US21015,"Boone County, KY",64414,65736,67047,72374,78415,77429,3592,5494,5443,5179,3942,6686,124442,126413,127712,128536,130728,131533,,
05000US29019,"Boone County, MO",48953,50085,50520,52752,51340,54356,3513,3082,3306,4636,2776,3368,170773,172717,174974,176594,178271,180005,,
05000US22015,"Bossier Parish, LA",51796,50704,56140,48163,49038,55922,3249,2963,5480,3262,4843,5906,123823,125064,125175,126057,127634,127185,,
05000US08013,"Boulder County, CO",71604,71540,72009,74615,80834,83755,2063,3599,5099,3337,3127,3581,310048,313333,319372,322226,322514,326078,,
05000US48037,"Bowie County, TX",41142,40493,40662,45997,50573,47134,3266,6851,5314,4711,3994,4912,93487,93275,93389,93860,94012,94324,,
05000US47011,"Bradley County, TN",42722,42563,42922,44853,48857,50560,3788,4452,3065,3202,5506,3023,101848,102975,104091,104490,105560,106727,,
05000US48039,"Brazoria County, TX",66250,74799,71251,74799,82229,73623,3987,3396,4797,4290,4477,4248,330242,338124,346312,354195,362457,370200,,
05000US48041,"Brazos County, TX",37913,40973,44270,41559,45155,50110,3111,2685,4055,2142,3309,2278,203164,209152,215037,220417,222830,226758,,
05000US12009,"Brevard County, FL",46472,47907,50416,51184,52540,57888,1836,1770,1739,1372,1332,2522,550823,556885,568088,579130,589162,596849,,
05000US25005,"Bristol County, MA",53501,58057,60183,66027,67842,66205,2118,2313,2260,2804,2763,2009,552780,554194,556772,558324,561483,564022,,
05000US36005,"Bronx County, NY",33009,33712,35176,37525,37397,38467,1597,1709,1392,1266,1444,1864,1418733,1438159,1455444,1455720,1471160,1432132,,
05000US36007,"Broome County, NY",45560,46776,46152,50463,47758,51125,2594,2902,2449,2339,2719,2910,197534,197349,196567,195334,193639,191659,,
05000US08014,"Broomfield County, CO",,,84921,84349,90939,95800,,,6022,7092,6648,12625,,,65065,66529,68341,69267,,
05000US12011,"Broward County, FL",50446,51608,53926,54212,56842,57278,817,1046,1562,1603,1319,1415,1838844,1869235,1896425,1909632,1935878,1951260,,
05000US55009,"Brown County, WI",51160,53392,54802,57783,60793,61651,2183,2473,2975,2645,2502,2049,254586,256670,258718,260401,262052,263378,,
05000US37019,"Brunswick County, NC",47334,46721,46640,50692,56181,60496,3780,3161,4671,3689,3843,2848,115301,118836,122765,126953,130897,136744,,
05000US29021,"Buchanan County, MO",43895,46764,49302,48550,46052,55020,3438,4247,2805,4632,3086,5055,89631,89486,89100,88938,89065,88571,,
05000US42017,"Bucks County, PA",73594,77917,80575,79936,84749,88569,2419,2234,2276,2520,3007,1738,626976,626685,627367,626399,628341,628195,,
05000US21029,"Bullitt County, KY",60264,54690,53434,65359,62319,58119,5721,3854,3629,5413,3856,5591,76854,77955,78702,79151,80246,81069,,
05000US13031,"Bulloch County, GA",36153,32841,33477,43982,42138,44179,2799,5906,3878,4583,5934,5008,71214,72087,72651,74722,76149,77296,,
05000US37021,"Buncombe County, NC",46431,47671,44619,50685,50040,53980,2756,2147,2447,1692,2324,3551,247912,250539,253178,256088,257607,259103,,
05000US37023,"Burke County, NC",33379,37086,42970,40345,40274,43663,2947,4504,3000,3323,3809,5097,89842,89486,88842,88851,89293,90382,,
05000US38015,"Burleigh County, ND",64388,68339,65079,64558,69193,71172,5833,6526,4522,5530,5236,6473,88457,90503,92991,94487,95030,95273,,
05000US34005,"Burlington County, NJ",77398,80896,74800,80254,87673,84889,2511,2035,3113,2473,3575,3734,450838,449722,450226,449284,448596,445384,,
05000US20015,"Butler County, KS",55647,58791,60714,60182,64149,64898,2781,5736,3993,2865,8713,6088,65803,66227,66741,67025,66878,66765,,
05000US39017,"Butler County, OH",55958,58730,58785,63273,64023,60589,2983,2366,3289,2522,2260,2147,371272,374158,376353,377537,380604,382378,,
05000US42019,"Butler County, PA",58233,60782,68848,66426,68934,66423,2840,2807,3255,2434,2943,3855,185476,185943,186818,186847,187108,187888,,
05000US06007,"Butte County, CA",42752,42365,45644,45177,49061,51652,2438,2303,1880,3768,3182,3471,222090,224241,225411,226864,229294,231256,,
05000US37025,"Cabarrus County, NC",54307,54347,56853,63386,61490,69679,3801,3305,4253,4370,3300,3685,187226,192103,196762,201590,206872,211342,,
05000US54011,"Cabell County, WV",39019,34046,38839,38823,33750,38162,5967,2044,3816,4641,4699,3504,97133,97109,96844,95987,94958,93224,,
05000US49005,"Cache County, UT",48587,51556,50518,58003,52828,59248,3267,1713,3997,4292,4383,5589,116909,118343,120783,122753,124438,127068,,
05000US22017,"Caddo Parish, LA",39683,39315,41040,37104,36165,39077,2325,3666,2358,2496,2246,3143,254887,252603,251460,248851,246581,242922,,
05000US72025,"Caguas Municipio, PR",23583,24145,22686,24198,22377,27714,2156,2009,2635,1887,1719,3251,139559,137032,134481,132164,129604,124434,,
05000US22019,"Calcasieu Parish, LA",42625,45742,45767,45962,52319,49113,4020,2976,2871,3065,2930,3354,195296,197204,198788,200601,202445,203112,,
05000US37027,"Caldwell County, NC",32386,37876,38708,36301,45033,42257,2726,3773,3094,3557,5018,3342,81990,81484,81287,81449,81981,82029,,
05000US01015,"Calhoun County, AL",36205,41428,42346,41687,46763,45818,3402,2300,2538,3903,3173,5781,116736,115916,115620,114611,114728,114277,,
05000US26025,"Calhoun County, MI",44520,46088,43084,45902,45386,47204,3406,2381,2719,2822,2270,3791,135012,134878,134314,134386,134128,134487,,
05000US24009,"Calvert County, MD",94196,95110,106247,98732,100590,107884,7032,8601,10881,9520,11000,6073,90484,90613,90595,91251,91502,92003,,
05000US42021,"Cambria County, PA",41423,43224,44179,44100,46598,45084,2522,2148,2002,3096,2609,3675,140499,137732,136411,134732,133054,131730,,
05000US34007,"Camden County, NJ",58006,62330,65025,66362,66196,67523,3347,2612,3754,2427,2791,2954,512854,511038,510923,510150,510719,507078,,
05000US48061,"Cameron County, TX",34374,32093,34074,37061,36975,38378,1851,1534,2696,2142,2807,2327,417276,420392,422156,422135,423725,423908,,
05000US21037,"Campbell County, KY",53323,50872,51208,62536,61379,59524,2571,4360,1767,3917,4427,5064,90988,91833,92066,92211,92488,93152,,
05000US40017,"Canadian County, OK",63549,68552,62045,67177,74720,70204,2619,2886,3100,4907,6463,3579,126123,129582,133378,136532,139926,144447,,
05000US16027,"Canyon County, ID",41941,43250,42786,48437,47324,53374,2314,2369,4325,2510,2436,3161,198871,203143,207478,211698,216699,223499,,
05000US29031,"Cape Girardeau County, MO",42760,47438,49731,50223,51140,49844,3697,4349,5191,2712,6506,5372,77320,78043,78572,78913,78161,78753,,
05000US34009,"Cape May County, NJ",60560,56899,57116,62548,66953,67007,4810,4079,4361,5723,4018,8412,95897,95344,94727,94430,93553,92560,,
05000US42025,"Carbon County, PA",44017,50023,57387,51676,49647,53227,2715,2779,6858,6430,6819,6209,64786,64441,63960,63594,63853,64227,,
05000US72031,"Carolina Municipio, PR",25988,28792,27039,28055,30822,25189,1482,1494,2829,1543,2508,2573,169597,165820,161884,158457,154489,147661,,
05000US13045,"Carroll County, GA",45682,40744,43410,51228,50100,51545,2693,4762,4354,4497,7022,4567,112355,114093,114545,116261,117812,118121,,
05000US24013,"Carroll County, MD",82955,85274,84887,90343,93676,97430,3838,3579,4071,4775,5125,6092,167564,167830,167627,167656,167781,168429,,
05000US37031,"Carteret County, NC",45231,48881,51048,51206,52807,54833,3526,3377,4260,4429,3163,3190,68434,68811,68879,68890,68881,69524,,
05000US27019,"Carver County, MN",82333,83594,92653,92455,101271,100324,6813,7343,5242,4773,6215,9410,95562,97338,98741,100262,102119,103551,,
05000US30013,"Cascade County, MT",43947,42170,45606,45138,47713,49948,3493,3538,3301,3057,3956,3119,82384,82344,82278,81755,81654,81643,,
05000US29037,"Cass County, MO",64144,60849,62561,63420,64595,71114,4418,2092,3340,4182,4240,6282,100641,100889,101603,102845,103724,104954,,
05000US38017,"Cass County, ND",52015,52604,53728,59240,64704,62418,2942,2951,4282,4401,4451,6561,162829,167005,171512,175249,177787,181516,,
05000US37035,"Catawba County, NC",42859,44677,40450,48913,53539,53454,3715,2760,2006,3680,2789,4144,154810,154534,155056,156459,157974,158652,,
05000US13047,"Catoosa County, GA",51608,52412,51012,55717,53231,56364,2983,5790,1400,6820,7627,11612,65311,65621,66050,66398,66550,67420,,
05000US36009,"Cattaraugus County, NY",40362,44320,40016,46842,48484,48179,2751,3350,2369,3719,3625,3100,78892,78600,77922,77677,77348,76840,,
05000US36011,"Cayuga County, NY",50154,53780,53146,54995,56599,52376,3887,2675,3745,4267,3700,4473,79477,78823,78288,77861,77603,77145,,
05000US24015,"Cecil County, MD",66090,61940,70676,74221,74912,74452,4802,3589,4327,7881,7308,5986,101913,102383,102382,102603,102746,102826,,
05000US42027,"Centre County, PA",53207,51367,56337,60266,55895,57333,4446,2696,4927,3374,3787,5312,155403,158742,160580,161464,162660,162805,,
05000US17019,"Champaign County, IL",45682,46776,50252,50335,50281,52725,2942,3141,3765,2837,2869,2147,204897,207133,208861,208419,209399,209983,,
